,MAE,MSE,R2,Dataset,Algorithm,Score
0,0.10468119885967464,0.02052718434637053,0.6383824232310402,dataset-train,Linear-Regression-train,0.06260419160302258
1,0.10848715734278011,0.021774426160958794,0.616411901709211,dataset_wp-train,Linear-Regression-train,0.06513079175186945
2,0.08853865211583352,0.013789116296335262,0.6173725284092237,dataset_outliers-train,Linear-Regression-train,0.05116388420608439
3,0.09222402265788687,0.014806604893357177,0.5788133360385226,dataset_wp_outliers-train,Linear-Regression-train,0.05351531377562203
4,0.09518940318294336,0.016466839939075363,0.6130265550601199,dataset_isolation-train,Linear-Regression-train,0.05582812156100936
5,0.09867338284279198,0.01781387610832965,0.5651444515075257,dataset_wp_isolation-train,Linear-Regression-train,0.05824362947556082
6,0.10516517468814653,0.020486074752808107,0.6391055996549247,dataset_log-train,Linear-Regression-train,0.06282562472047731
7,0.10859870944470733,0.021703316755249086,0.6176637255998461,dataset_wp_log-train,Linear-Regression-train,0.0651510130999782
8,0.09136341449812149,0.01544553937383188,0.6991411736604605,dataset_sample-train,Linear-Regression-train,0.053404476935976684
9,0.12302534727249421,0.02708530986487164,0.5228461776482727,dataset_l-train,Linear-Regression-train,0.07505532856868292
10,0.12302534727249421,0.02708530986487164,0.5228461776482727,dataset_wp_l-train,Linear-Regression-train,0.07505532856868292
11,0.10714661345083742,0.019443019209520795,0.46048836186245323,dataset_outliers_l-train,Linear-Regression-train,0.06329481633017911
12,0.10635031948014043,0.01916798181061941,0.45475537489201,dataset_wp_outliers_l-train,Linear-Regression-train,0.06275915064537992
13,0.11445353402787109,0.02277159411341918,0.46486672479325664,dataset_isolation_l-train,Linear-Regression-train,0.06861256407064513
14,0.11439136203712741,0.023003588513417373,0.4384572031654529,dataset_wp_isolation_l-train,Linear-Regression-train,0.0686974752752724
15,0.12313676149371104,0.02692615722038163,0.525648446325486,dataset_log_l-train,Linear-Regression-train,0.07503145935704633
16,0.12313676149371104,0.02692615722038163,0.525648446325486,dataset_wp_log_l-train,Linear-Regression-train,0.07503145935704633
17,0.06481787660542998,0.006553805535250349,0.8787208684010503,dataset_representative-train,Linear-Regression-train,0.03568584107034017
18,0.07211669286663529,0.008400148342903448,0.6890052814460801,dataset_outliers_representative-train,Linear-Regression-train,0.04025842060476937
19,0.11426745373908301,0.023062537936942448,0.46470697824339674,dataset_isolation_l_generated-train,Linear-Regression-train,0.06866499583801272
20,0.09921026275770792,0.016423863079083497,0.6120432471969899,dataset_isolation_generated-train,Linear-Regression-train,0.05781706291839571
21,0.09138738932683363,0.013709412495049627,0.6163236346927856,dataset_outliers_generated-train,Linear-Regression-train,0.05254840091094163
22,0.1098871718254905,0.019573306634469247,0.46448469913706847,dataset_outliers_l_generated-train,Linear-Regression-train,0.06473023922997988
23,0.12314163776449996,0.027206441314749835,0.5207125464924551,dataset_reduce_l-train,Linear-Regression-train,0.0751740395396249
24,0.10741729929477309,0.019543286365164066,0.45770513407944086,dataset_reduce_outliers_l-train,Linear-Regression-train,0.06348029282996857
25,0.11482709559988269,0.02291398868067583,0.46151923258004446,dataset_reduce_isolation_l-train,Linear-Regression-train,0.06887054214027927
26,0.061997042220100815,0.008642750230112638,0.8477376645173542,dataset-train,KNN-train,0.03531989622510673
27,0.0642586220177099,0.009206803154719225,0.83780063559846,dataset_wp-train,KNN-train,0.036732712586214564
28,0.05543296547403394,0.00634662978084594,0.8238943750479532,dataset_outliers-train,KNN-train,0.03088979762743994
29,0.05642628351733918,0.006518638586620401,0.8145703422261329,dataset_wp_outliers-train,KNN-train,0.03147246105197979
30,0.05882118222652125,0.0074110651432536465,0.8258437370139177,dataset_isolation-train,KNN-train,0.03311612368488745
31,0.06089994189623701,0.007938389275785902,0.8062173928536452,dataset_wp_isolation-train,KNN-train,0.034419165586011456
32,0.06191973751310992,0.008616522131811286,0.8482001815927213,dataset_log-train,KNN-train,0.0352681298224606
33,0.06478610802979506,0.00932018387911979,0.8358026231840021,dataset_wp_log-train,KNN-train,0.037053145954457425
34,0.07908352594131582,0.012169433671717363,0.7626858410070458,dataset_sample-train,KNN-train,0.04562647980651659
35,0.08131443659854325,0.013400180766794004,0.763931431201508,dataset_l-train,KNN-train,0.047357308682668624
36,0.08131443659854325,0.013400180766794004,0.763931431201508,dataset_wp_l-train,KNN-train,0.047357308682668624
37,0.07223352483328147,0.009930110701604353,0.7244580055340412,dataset_outliers_l-train,KNN-train,0.04108181776744291
38,0.07206549246324855,0.009851839099366036,0.7197628602398266,dataset_wp_outliers_l-train,KNN-train,0.04095866578130729
39,0.07792101604112953,0.011829539921002172,0.7220001226964904,dataset_isolation_l-train,KNN-train,0.04487527798106585
40,0.07802981416824342,0.011931810330643257,0.7087307430608524,dataset_wp_isolation_l-train,KNN-train,0.044980812249443336
41,0.08159099242546079,0.013510926981698746,0.7619790589824388,dataset_log_l-train,KNN-train,0.04755095970357977
42,0.08159099242546079,0.013510926981698746,0.7619790589824388,dataset_wp_log_l-train,KNN-train,0.04755095970357977
43,0.0787961183665222,0.010036489538459087,0.8445030283606494,dataset_representative-train,KNN-train,0.044416303952490646
44,0.07610707447254514,0.009984311261589232,0.6629828269491209,dataset_outliers_representative-train,KNN-train,0.043045692867067185
45,0.08793998709740022,0.013894913624728555,0.677491813978706,dataset_isolation_l_generated-train,KNN-train,0.05091745036106439
46,0.07767089591116978,0.010346826656315053,0.7555942341104628,dataset_isolation_generated-train,KNN-train,0.044008861283742415
47,0.0726697386045229,0.00887735711041717,0.7515551967219174,dataset_outliers_generated-train,KNN-train,0.04077354785747003
