,MAE,MSE,R2,Dataset,Algorithm,Score
0,0.07170257957302932,0.011083663544065408,0.8046844297976461,dataset,Random-Forest,0.041393121558547366
1,0.07386965203219473,0.011731968875490092,0.7932383454282625,dataset_wp,Random-Forest,0.04280081045384241
2,0.0648330134103112,0.008516062251735417,0.7636272929887982,dataset_outliers,Random-Forest,0.036674537831023306
3,0.06668803825245362,0.008918154675869344,0.7461961018515935,dataset_wp_outliers,Random-Forest,0.03780309646416148
4,0.06763857462951697,0.009448620376316713,0.7779648983861776,dataset_isolation,Random-Forest,0.038543597502916846
5,0.06936000206112228,0.010058746294100054,0.7544059811250005,dataset_wp_isolation,Random-Forest,0.03970937417761117
6,0.07166348738149349,0.01108276209947549,0.8047023089544026,dataset_log,Random-Forest,0.04137312474048449
7,0.07384617124885372,0.01173910054802408,0.7931158444390854,dataset_wp_log,Random-Forest,0.0427926358984389
8,0.1053740887355357,0.01960931278547618,0.6105081034455822,dataset_sample,Random-Forest,0.06249170076050595
9,0.10009092508265875,0.020186358866944903,0.6442106078211112,dataset_l,Random-Forest,0.06013864197480183
10,0.10009092508265875,0.020186358866944903,0.6442106078211112,dataset_wp_l,Random-Forest,0.06013864197480183
11,0.08931758226587634,0.015029297524195937,0.5828514369024056,dataset_outliers_l,Random-Forest,0.05217343989503614
12,0.08888819655232268,0.014852408053324781,0.5773388322818002,dataset_wp_outliers_l,Random-Forest,0.05187030230282373
13,0.09546433811406309,0.017733720642914792,0.5832512569403959,dataset_isolation_l,Random-Forest,0.056599029378488944
14,0.09506327316254246,0.017723266117130765,0.5672430585456676,dataset_wp_isolation_l,Random-Forest,0.05639326963983661
15,0.10008647841112142,0.02019943332556841,0.6439767202390803,dataset_log_l,Random-Forest,0.060142955868344915
16,0.10008647841112142,0.02019943332556841,0.6439767202390803,dataset_wp_log_l,Random-Forest,0.060142955868344915
17,0.13733669872037185,0.031937570670410864,0.43983474206650686,dataset_representative,Random-Forest,0.08463713469539136
18,0.145458699139385,0.041805240883251354,0.26676190296357793,dataset_outliers_representative,Random-Forest,0.09363197001131818
19,0.10952568526560166,0.021650372302720638,0.49732211278975685,dataset_isolation_l_generated,Random-Forest,0.06558802878416115
20,0.09366483146962024,0.014996398378618853,0.6457087136221533,dataset_isolation_generated,Random-Forest,0.054330614924119544
21,0.0879178210744508,0.013041583838141973,0.6349622696563176,dataset_outliers_generated,Random-Forest,0.050479702456296384
22,0.102554494164661,0.017950742109368745,0.5088333830165105,dataset_outliers_l_generated,Random-Forest,0.06025261813701487
23,0.10502895202092244,0.021739387172668753,0.6168754179833311,dataset_reduce_l,Random-Forest,0.0633841695967956
24,0.09554022676789162,0.016809596892605354,0.5334765137558579,dataset_reduce_outliers_l,Random-Forest,0.05617491183024849
25,0.09976525747539655,0.019049793833376426,0.5523033913554458,dataset_reduce_isolation_l,Random-Forest,0.05940752565438649
26,0.08562123779202412,0.014447483386614668,0.7454361686826803,dataset,Extra-Trees,0.05003436058931939
27,0.08746037616833488,0.015233586592412914,0.7315535491780367,dataset_wp,Extra-Trees,0.0513469813803739
28,0.07550238829466704,0.010635829076404538,0.7047855315874687,dataset_outliers,Extra-Trees,0.04306910868553579
29,0.07784461195928503,0.011297960491044035,0.6785508495777036,dataset_wp_outliers,Extra-Trees,0.044571286225164534
30,0.07863442809931442,0.011942518878746238,0.7194678521620265,dataset_isolation,Extra-Trees,0.04528847348903033
31,0.0815651657983619,0.01311359370862698,0.679785549855142,dataset_wp_isolation,Extra-Trees,0.04733937975349444
32,0.08557126605530005,0.014453257116625897,0.7453442340727339,dataset_log,Extra-Trees,0.050012261585962975
33,0.08723156156067749,0.01515035415326696,0.7330587759180183,dataset_wp_log,Extra-Trees,0.051190957856972225
34,0.10625531590559659,0.02025937245176103,0.6009569153184824,dataset_sample,Extra-Trees,0.06325734417867881
35,0.10345738721412119,0.02075054367922764,0.634316964021189,dataset_l,Extra-Trees,0.06210396544667442
36,0.10345738721412119,0.02075054367922764,0.634316964021189,dataset_wp_l,Extra-Trees,0.06210396544667442
37,0.09338026526799661,0.01583232254159236,0.5605839945564906,dataset_outliers_l,Extra-Trees,0.05460629390479449
38,0.09253801758594644,0.015570677405081718,0.5568927751129952,dataset_wp_outliers_l,Extra-Trees,0.054054347495514084
39,0.09919073123387942,0.018419756969460573,0.5671325528125836,dataset_isolation_l,Extra-Trees,0.05880524410167
40,0.09918353319736876,0.018605507778216717,0.5456884707108107,dataset_wp_isolation_l,Extra-Trees,0.05889452048779274
41,0.10370836720939702,0.02084101034996192,0.6327061183422827,dataset_log_l,Extra-Trees,0.06227468877967947
42,0.10370836720939702,0.02084101034996192,0.6327061183422827,dataset_wp_log_l,Extra-Trees,0.06227468877967947
43,0.1313313515706006,0.029918431137703965,0.4752880991181425,dataset_representative,Extra-Trees,0.08062489135415228
44,0.14220229091838796,0.03934432639851923,0.3099759743930346,dataset_outliers_representative,Extra-Trees,0.0907733086584536
45,0.10899194418773961,0.0213804489269179,0.5036048336163914,dataset_isolation_l_generated,Extra-Trees,0.06518619655732875
46,0.10242199588660476,0.01741081214319696,0.588679024452898,dataset_isolation_generated,Extra-Trees,0.059916404014900865
47,0.09601881346064182,0.015054278819337897,0.5786377817138988,dataset_outliers_generated,Extra-Trees,0.05553654613998986
48,0.10304063146818479,0.017799492452890052,0.5129802362549352,dataset_outliers_l_generated,Extra-Trees,0.060420061960537425
